Timestamp,Quality,Type,ID,Alarm State,Resource,Reference,Message
 06/29/21  15:21:10.691,,BSYS,0063-2,,SCS0118,SCS0118,SCS0118  FIO-BUS Fail    FIO BUS No.2
 06/29/21  15:21:10.691,,BSYS,0065-2,,SCS0118,SCS0118,SCS0118  SBS Fail    FIO NODE 03 SBS RIGHT
 06/29/21  15:21:09.941,,BSYS,0065-2,,SCS0118,SCS0118,SCS0118  SBS Fail    FIO NODE 02 SBS RIGHT
 06/29/21  11:34:30.191,,BSYS,0081-2,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 08 Code = A33D
 06/29/21  11:34:30.191,,BSYS,0081-2,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 07 Code = A33D
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 05 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 04 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 03 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0460-4,,SCS0118,SCS0118,SCS0118  IOM Out Service FIO NODE 03 SLOT 03
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 02 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 01 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 02 SLOT 05 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 02 SLOT 04 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 02 SLOT 03 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 02 SLOT 02 Code = 5101
 06/29/21  11:34:30.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 02 SLOT 01 Code = 5101
 06/29/21  11:27:18.691,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 05
 06/29/21  11:27:18.691,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 04
 06/29/21  11:27:18.691,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 03
 06/29/21  11:27:18.691,,BSYS,0459-4,,SCS0118,SCS0118,SCS0118  IOM In  Service FIO NODE 03 SLOT 03
 06/29/21  11:27:18.691,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 02
 06/29/21  11:27:18.691,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 01
 06/29/21  11:27:18.441,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 08
 06/29/21  11:27:18.441,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 03 SLOT 07
 06/29/21  11:27:18.191,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 02 SLOT 05
 06/29/21  11:27:18.191,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 02 SLOT 04
 06/29/21  11:27:18.191,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 02 SLOT 03
 06/29/21  11:27:18.191,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 02 SLOT 02
 06/29/21  11:27:18.191,,BSYS,0082-3,,SCS0118,SCS0118,SCS0118  IOM Recover FIO NODE 02 SLOT 01
 06/29/21  11:26:46.191,,BSYS,0081-2,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 08 Code = A33D
 06/29/21  11:26:46.191,,BSYS,0081-2,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 07 Code = A33D
 06/29/21  11:26:46.191,,BSYS,0081-1,,SCS0118,SCS0118,SCS0118  IOM Fail    FIO NODE 03 SLOT 05 Code = 5101
